run,rewards,policy
0,499.60000999577386,"{1: (0.0, 1.0), 2: (1.0, 0.0), 3: (0.0, 1.0), 4: (1.0, 0.0), 5: (0.0, 1.0)}"
1,435.5095729314768,"{1: (0.0, 1.0), 2: (0.875, 0.0), 3: (0.0, 1.0), 4: (0.875, 0.0), 5: (0.0, 1.0)}"
2,487.81487858934554,"{1: (0.0, 1.0), 2: (1.0, 0.0), 3: (0.0, 1.0), 4: (1.0, 0.0), 5: (0.0, 1.0)}"
3,474.1692496415766,"{1: (0.0, 1.0), 2: (1.0, 0.0), 3: (0.125, 1.0), 4: (1.0, 0.0), 5: (0.125, 1.0)}"
4,472.0266242294866,"{1: (0.0, 0.75), 2: (1.0, 0.0), 3: (0.125, 1.0), 4: (1.0, 0.0), 5: (0.125, 1.0)}"
5,476.621042099625,"{1: (0.0, 0.75), 2: (1.0, 0.0), 3: (0.0, 1.0), 4: (1.0, 0.0), 5: (0.0, 1.0)}"
6,457.8330786113514,"{1: (0.0, 0.75), 2: (1.0, 0.0), 3: (0.0, 1.0), 4: (1.0, 0.0), 5: (0.0, 1.0)}"
7,475.357575690055,"{1: (0.0, 1.0), 2: (1.0, 0.0), 3: (0.0, 1.0), 4: (1.0, 0.0), 5: (0.0, 1.0)}"
8,490.3255636919481,"{1: (1.0, 0.0), 2: (0.0, 1.0), 3: (1.0, 0.0), 4: (0.0, 1.0), 5: (1.0, 0.0)}"
9,478.96663886924574,"{1: (1.0, 0.0), 2: (0.0, 1.0), 3: (1.0, 0.0), 4: (0.0, 1.0), 5: (1.0, 0.0)}"
